title,description,category,is_security_related,template_group
Printer fault,The printer jams on every page and shows a hardware error at Carlow branch. It started during normal daily work and one person is affected.,hardware,False,hardware-2
Cannot reach drive over VPN,My account works locally but the shared drive is unreachable over VPN. It started late yesterday and one person is affected.,network,False,network-4
Laptop will not start - Suspicious email reported,The laptop power light stays off after changing the charger at Naas office. It started early this morning and one person is affected. A suspicious email asks me to open an attachment and enter my password.,hardware,True,hardware-0
Printer fault,The printer jams on every page and shows a hardware error at Carlow branch. It started during a meeting and one person is affected.,hardware,False,hardware-2
Keyboard keys not responding,Several keyboard keys have stopped working on a desktop used by the operations team. It started after the latest restart and one person is affected.,hardware,False,hardware-5
Laptop will not start,The laptop power light stays off after changing the charger at Naas office. It started during a meeting and the whole team is affected.,hardware,False,hardware-0
Remote desktop disconnecting,The remote session drops whenever the VPN connection becomes unstable. It started during a meeting and one person is affected.,network,False,network-8
Expired account,The system says my user account has expired and will not allow a sign-in. It started after lunch and the whole team is affected.,access,False,access-10
Cannot log into finance software,The application opens but says my account lacks permission. It started while working remotely and one person is affected.,access,False,access-4
VPN cannot connect - Possible data breach,The VPN times out before reaching the company network from home. It started while working remotely and one person is affected. Confidential company information may have been exposed to an unknown person.,network,True,network-1
Email client search broken,The desktop mail application opens normally but returns no search results. It started when the office opened and one person is affected.,software,False,software-8
Shared drive unreachable,The operations team cannot reach the shared drive over the network. It started after lunch and the whole team is affected.,network,False,network-2
Projector shows no picture,The meeting-room projector powers on but does not display an image. It started after the latest restart and one person is affected.,hardware,False,hardware-8
Weak wireless signal,The Wi-Fi signal disappears in part of Naas office for every nearby device. It started after the latest restart and one person is affected.,network,False,network-13
Install approved software,Please install the approved reporting application for the operations team. It started during a meeting and the whole team is affected.,software,False,software-3
Cannot use approved feature,The software loads correctly but says my role is not permitted to use approvals. It started during normal daily work and one person is affected.,access,False,access-12
Multi-factor code rejected,The portal accepts my password but rejects every authentication code. It started after the latest restart and the whole team is affected.,access,False,access-6
Browser closes unexpectedly,The web browser exits whenever a second tab is opened. It started late yesterday and one person is affected.,software,False,software-6
Cannot log into finance software,The application opens but says my account lacks permission. It started after lunch and the whole team is affected.,access,False,access-4
Cannot use approved feature,The software loads correctly but says my role is not permitted to use approvals. It started when the office opened and one person is affected.,access,False,access-12
Antivirus scan will not finish,The approved antivirus program stops responding midway through a routine scan. It started while working remotely and one person is affected.,software,False,software-14
Antivirus scan will not finish,The approved antivirus program stops responding midway through a routine scan. It started after lunch and one person is affected.,software,False,software-14
Slow connection,Internet performance is extremely slow for everyone at the Naas site. It started during normal daily work and one person is affected.,network,False,network-3
Second screen flickering,The physical display flickers with different cables and applications. It started during normal daily work and one person is affected.,hardware,False,hardware-13
Remove leaver access,Please revoke the former employee's account permissions today. It started after lunch and the whole team is affected.,access,False,access-3
Application licence error,The licensed design program rejects its valid licence after an update. It started when the office opened and one person is affected.,software,False,software-12
Calendar application frozen,The calendar stops responding after a meeting invitation is accepted. It started during normal daily work and one person is affected.,software,False,software-9
Wi-Fi disconnecting - Suspicious email reported,Wireless access drops every few minutes throughout the Naas site. It started early this morning and one person is affected. A suspicious email asks me to open an attachment and enter my password.,network,True,network-0
Incorrect totals in report,The reporting program calculates the wrong total after importing a spreadsheet. It started while working remotely and one person is affected.,software,False,software-7
Wi-Fi disconnecting,Wireless access drops every few minutes throughout the Naas site. It started after lunch and the whole team is affected.,network,False,network-0
Role permissions missing,I can sign in to the reporting application but cannot access the manager functions. It started when the office opened and one person is affected.,access,False,access-7
Remote desktop disconnecting,The remote session drops whenever the VPN connection becomes unstable. It started after lunch and one person is affected.,network,False,network-8
Cannot log into finance software,The application opens but says my account lacks permission. It started early this morning and the whole team is affected.,access,False,access-4
Router light is off,There is no internet because the physical router has no power at Carlow office. It started when the office opened and one person is affected.,hardware,False,hardware-4
New account request,Please create a standard system account for an approved new team member. It started when the office opened and one person is affected.,access,False,access-13
Webcam not detected - Possible data breach,The external webcam is not recognised after reconnecting it at Naas office. It started early this morning and one person is affected. Confidential company information may have been exposed to an unknown person.,hardware,True,hardware-7
Desktop making warning beeps - Unauthorised access concern,The workstation beeps during startup and does not reach the login screen. It started early this morning and one person is affected. I noticed unauthorised access to my account this morning.,hardware,True,hardware-14
Document formatting changed,The word processor moves headings and tables when the file is saved. It started after the latest restart and the whole team is affected.,software,False,software-11
Payroll export fails - Ransomware concern,The payroll application accepts the user login but fails while exporting data. It started after lunch and one person is affected. A message claims company files were encrypted and demands payment.,software,True,software-13
New starter permissions,A new employee needs approved access to the HR portal. It started when the office opened and one person is affected.,access,False,access-2
Laptop will not start,The laptop power light stays off after changing the charger at Carlow branch. It started while working remotely and one person is affected.,hardware,False,hardware-0
Webcam not detected - Ransomware concern,The external webcam is not recognised after reconnecting it at Naas office. It started during normal daily work and one person is affected. A message claims company files were encrypted and demands payment.,hardware,True,hardware-7
Headset microphone broken,The headset plays sound but its microphone does not capture any audio. It started after the latest restart and one person is affected.,hardware,False,hardware-12
Account locked - Stolen work device,My approved account is locked after several failed sign-in attempts. It started after lunch and the whole team is affected. A company device containing work information has been reported stolen.,access,True,access-5
Laptop fan is noisy,The laptop fan is grinding loudly and the computer becomes unusually hot. It started early this morning and one person is affected.,hardware,False,hardware-10
Laptop fan is noisy,The laptop fan is grinding loudly and the computer becomes unusually hot. It started while working remotely and one person is affected.,hardware,False,hardware-10
Laptop battery is swollen,The laptop case is lifting near the battery and the device should be inspected. It started during normal daily work and one person is affected.,hardware,False,hardware-6
Internal website times out,The intranet cannot be reached from any computer at Naas office. It started when the office opened and one person is affected.,network,False,network-7
Remote desktop disconnecting,The remote session drops whenever the VPN connection becomes unstable. It started after the latest restart and one person is affected.,network,False,network-8
Approved plugin fails to load,The approved browser extension is installed but shows an initialization error. It started during a meeting and the whole team is affected.,software,False,software-10
Install approved software,Please install the approved reporting application for the Finance team. It started after lunch and the whole team is affected.,software,False,software-3
Shared mailbox access,Please authorise the Finance team to open the shared mailbox. It started early this morning and one person is affected.,access,False,access-8
Email client search broken,The desktop mail application opens normally but returns no search results. It started after lunch and one person is affected.,software,False,software-8
Access denied,Please grant my account permission to the Finance team shared folder. It started after lunch and the whole team is affected.,access,False,access-0
Video calls keep dropping,Calls disconnect for several people whenever they use the office network. It started after the latest restart and one person is affected.,network,False,network-6
Remove leaver access,Please revoke the former employee's account permissions today. It started during a meeting and one person is affected.,access,False,access-3
Keyboard keys not responding,Several keyboard keys have stopped working on a desktop used by the reception. It started during a meeting and the whole team is affected.,hardware,False,hardware-5
Laptop battery is swollen,The laptop case is lifting near the battery and the device should be inspected. It started while working remotely and one person is affected.,hardware,False,hardware-6
Access denied,Please grant my account permission to the reception shared folder. It started late yesterday and one person is affected.,access,False,access-0
Remove folder permission,Please remove a contractor's access to the confidential project folder. It started when the office opened and one person is affected.,access,False,access-11
Cannot resolve internal address,The internal server name is not resolving although public websites still load. It started after the latest restart and the whole team is affected.,network,False,network-12
PDF files will not open,The document reader reports an error for every PDF downloaded by the reception. It started after lunch and one person is affected.,software,False,software-5
Mouse disconnects,The wired mouse repeatedly disconnects when moved to another USB port. It started during a meeting and one person is affected.,hardware,False,hardware-9
Cloud files synchronising slowly,File synchronisation stalls only while connected to the Naas site network. It started during a meeting and one person is affected.,network,False,network-11
Permission changed unexpectedly,I can log in but no longer have access to files I was authorised to use. It started during a meeting and the whole team is affected.,access,False,access-14
Cannot use approved feature,The software loads correctly but says my role is not permitted to use approvals. It started early this morning and the whole team is affected.,access,False,access-12
Update caused an error,The application will not open since yesterday's software update. It started during a meeting and the whole team is affected.,software,False,software-1
Router light is off,There is no internet because the physical router has no power at Carlow office. It started while working remotely and one person is affected.,hardware,False,hardware-4
Desktop making warning beeps,The workstation beeps during startup and does not reach the login screen. It started after the latest restart and the whole team is affected.,hardware,False,hardware-14
Cannot reach drive over VPN,My account works locally but the shared drive is unreachable over VPN. It started early this morning and one person is affected.,network,False,network-4
Router light is off,There is no internet because the physical router has no power at Naas office. It started late yesterday and one person is affected.,hardware,False,hardware-4
VPN connected without resources,The VPN reports connected but internal drives and pages remain unreachable. It started after the latest restart and the whole team is affected.,network,False,network-14
Shared drive unreachable - Spoofed sender reported,The operations team cannot reach the shared drive over the network. It started late yesterday and one person is affected. The message appears to impersonate a manager and requests confidential data.,network,True,network-2
Calendar application frozen,The calendar stops responding after a meeting invitation is accepted. It started when the office opened and one person is affected.,software,False,software-9
Password reset - Possible data breach,I forgot my password and need a normal account reset. It started while working remotely and one person is affected. Confidential company information may have been exposed to an unknown person.,access,True,access-1
Document formatting changed - Stolen work device,The word processor moves headings and tables when the file is saved. It started after the latest restart and one person is affected. A company device containing work information has been reported stolen.,software,True,software-11
Laptop will not start,The laptop power light stays off after changing the charger at Carlow office. It started during a meeting and one person is affected.,hardware,False,hardware-0
Browser closes unexpectedly,The web browser exits whenever a second tab is opened. It started after the latest restart and one person is affected.,software,False,software-6
Multi-factor code rejected,The portal accepts my password but rejects every authentication code. It started early this morning and one person is affected.,access,False,access-6
Printer fault,The printer jams on every page and shows a hardware error at Carlow branch. It started while working remotely and one person is affected.,hardware,False,hardware-2
Mouse disconnects,The wired mouse repeatedly disconnects when moved to another USB port. It started during a meeting and the whole team is affected.,hardware,False,hardware-9
Application licence error,The licensed design program rejects its valid licence after an update. It started after lunch and one person is affected.,software,False,software-12
Spreadsheet is frozen,Excel becomes unresponsive when opening the monthly workbook. It started after the latest restart and one person is affected.,software,False,software-2
Desktop making warning beeps,The workstation beeps during startup and does not reach the login screen. It started after lunch and the whole team is affected.,hardware,False,hardware-14
Approved plugin fails to load,The approved browser extension is installed but shows an initialization error. It started after lunch and the whole team is affected.,software,False,software-10
Shared mailbox access,Please authorise the operations team to open the shared mailbox. It started during a meeting and one person is affected.,access,False,access-8
Cannot resolve internal address,The internal server name is not resolving although public websites still load. It started when the office opened and one person is affected.,network,False,network-12
Mouse disconnects,The wired mouse repeatedly disconnects when moved to another USB port. It started during normal daily work and one person is affected.,hardware,False,hardware-9
VPN cannot connect,The VPN times out before reaching the company network from home. It started after the latest restart and one person is affected.,network,False,network-1
New starter permissions,A new employee needs approved access to the HR portal. It started after lunch and the whole team is affected.,access,False,access-2
VPN cannot connect,The VPN times out before reaching the company network from home. It started after lunch and the whole team is affected.,network,False,network-1
Shared drive unreachable,The operations team cannot reach the shared drive over the network. It started when the office opened and one person is affected.,network,False,network-2
Docking station failure - Possible credential theft,"USB devices disconnect whenever the laptop is placed on the dock. It started when the office opened and one person is affected. An unexpected page requested my username, password, and authentication code.",hardware,True,hardware-3
Shared drive unreachable,The reception cannot reach the shared drive over the network. It started while working remotely and one person is affected.,network,False,network-2
Cannot resolve internal address,The internal server name is not resolving although public websites still load. It started after lunch and one person is affected.,network,False,network-12
Document formatting changed,The word processor moves headings and tables when the file is saved. It started when the office opened and one person is affected.,software,False,software-11
Spreadsheet is frozen,Excel becomes unresponsive when opening the monthly workbook. It started early this morning and one person is affected.,software,False,software-2
Account locked,My approved account is locked after several failed sign-in attempts. It started during a meeting and the whole team is affected.,access,False,access-5
Headset microphone broken,The headset plays sound but its microphone does not capture any audio. It started while working remotely and one person is affected.,hardware,False,hardware-12
Cannot log into finance software - Possible malware,The application opens but says my account lacks permission. It started after the latest restart and one person is affected. A malware warning appeared after an unexpected download.,access,True,access-4
Wired connection unavailable - Stolen work device,The network cable is connected but the workstation cannot reach any internal site. It started after lunch and the whole team is affected. A company device containing work information has been reported stolen.,network,True,network-5
Browser closes unexpectedly - Unknown administrator activity,The web browser exits whenever a second tab is opened. It started early this morning and the whole team is affected. An unrecognised administrator changed settings without approval.,software,True,software-6
Application keeps crashing,The finance application closes whenever the operations team saves a report. It started while working remotely and one person is affected.,software,False,software-0
Remove folder permission,Please remove a contractor's access to the confidential project folder. It started early this morning and one person is affected.,access,False,access-11
Cannot use approved feature - Possible credential theft,"The software loads correctly but says my role is not permitted to use approvals. It started after lunch and the whole team is affected. An unexpected page requested my username, password, and authentication code.",access,True,access-12
Cannot use approved feature,The software loads correctly but says my role is not permitted to use approvals. It started early this morning and one person is affected.,access,False,access-12
Wi-Fi disconnecting,Wireless access drops every few minutes throughout the Carlow office. It started late yesterday and one person is affected.,network,False,network-0
Email client search broken,The desktop mail application opens normally but returns no search results. It started during a meeting and the whole team is affected.,software,False,software-8
Multi-factor code rejected,The portal accepts my password but rejects every authentication code. It started after the latest restart and one person is affected.,access,False,access-6
Slow connection,Internet performance is extremely slow for everyone at the Naas site. It started during a meeting and one person is affected.,network,False,network-3
Password reset,I forgot my password and need a normal account reset. It started during a meeting and the whole team is affected.,access,False,access-1
Damaged charging port,The charger only works when held at an angle in the laptop socket. It started late yesterday and one person is affected.,hardware,False,hardware-11
Docking station failure,USB devices disconnect whenever the laptop is placed on the dock. It started early this morning and one person is affected.,hardware,False,hardware-3
Spreadsheet is frozen - Spoofed sender reported,Excel becomes unresponsive when opening the monthly workbook. It started late yesterday and one person is affected. The message appears to impersonate a manager and requests confidential data.,software,True,software-2
Install approved software,Please install the approved reporting application for the Finance team. It started early this morning and one person is affected.,software,False,software-3
Wi-Fi disconnecting,Wireless access drops every few minutes throughout the Carlow branch. It started after the latest restart and one person is affected.,network,False,network-0
Incorrect totals in report,The reporting program calculates the wrong total after importing a spreadsheet. It started after the latest restart and one person is affected.,software,False,software-7
Headset microphone broken,The headset plays sound but its microphone does not capture any audio. It started during normal daily work and one person is affected.,hardware,False,hardware-12
Network printer unreachable,The printer is powered on but no workstation can contact its network address. It started during a meeting and one person is affected.,network,False,network-9
Damaged charging port,The charger only works when held at an angle in the laptop socket. It started during a meeting and one person is affected.,hardware,False,hardware-11
Database permission denied,The database connection succeeds but my user is not authorised to view the records. It started after lunch and the whole team is affected.,access,False,access-9
Second screen flickering - Ransomware concern,The physical display flickers with different cables and applications. It started after lunch and one person is affected. A message claims company files were encrypted and demands payment.,hardware,True,hardware-13
VPN connected without resources,The VPN reports connected but internal drives and pages remain unreachable. It started during a meeting and one person is affected.,network,False,network-14
Mouse disconnects,The wired mouse repeatedly disconnects when moved to another USB port. It started when the office opened and one person is affected.,hardware,False,hardware-9
Remote desktop disconnecting,The remote session drops whenever the VPN connection becomes unstable. It started early this morning and one person is affected.,network,False,network-8
Access denied - Virus warning,Please grant my account permission to the HR team shared folder. It started during normal daily work and one person is affected. The security scanner detected a possible virus during this incident.,access,True,access-0
Router light is off,There is no internet because the physical router has no power at Naas office. It started during a meeting and one person is affected.,hardware,False,hardware-4
Spreadsheet is frozen,Excel becomes unresponsive when opening the monthly workbook. It started during a meeting and one person is affected.,software,False,software-2
Desktop making warning beeps,The workstation beeps during startup and does not reach the login screen. It started early this morning and the whole team is affected.,hardware,False,hardware-14
Application licence error,The licensed design program rejects its valid licence after an update. It started late yesterday and one person is affected.,software,False,software-12
Desktop making warning beeps,The workstation beeps during startup and does not reach the login screen. It started during a meeting and the whole team is affected.,hardware,False,hardware-14
Payroll export fails,The payroll application accepts the user login but fails while exporting data. It started after the latest restart and the whole team is affected.,software,False,software-13
Slow connection,Internet performance is extremely slow for everyone at the Naas office. It started early this morning and the whole team is affected.,network,False,network-3
Laptop fan is noisy,The laptop fan is grinding loudly and the computer becomes unusually hot. It started late yesterday and one person is affected.,hardware,False,hardware-10
Headset microphone broken,The headset plays sound but its microphone does not capture any audio. It started after lunch and one person is affected.,hardware,False,hardware-12
Router light is off - Suspicious sign-in page,There is no internet because the physical router has no power at Naas site. It started during a meeting and the whole team is affected. A fake-looking login page appeared and asked me to confirm my credentials.,hardware,True,hardware-4
Laptop fan is noisy,The laptop fan is grinding loudly and the computer becomes unusually hot. It started after lunch and the whole team is affected.,hardware,False,hardware-10
Internal website times out,The intranet cannot be reached from any computer at Naas office. It started after lunch and one person is affected.,network,False,network-7
Printer fault,The printer jams on every page and shows a hardware error at Carlow office. It started early this morning and one person is affected.,hardware,False,hardware-2
Browser closes unexpectedly,The web browser exits whenever a second tab is opened. It started during a meeting and one person is affected.,software,False,software-6
Internal website times out,The intranet cannot be reached from any computer at Naas office. It started during a meeting and the whole team is affected.,network,False,network-7
Cannot resolve internal address - Unknown administrator activity,The internal server name is not resolving although public websites still load. It started during a meeting and one person is affected. An unrecognised administrator changed settings without approval.,network,True,network-12
Printer fault,The printer jams on every page and shows a hardware error at Naas office. It started after the latest restart and one person is affected.,hardware,False,hardware-2
Antivirus scan will not finish - Lost company device,The approved antivirus program stops responding midway through a routine scan. It started during normal daily work and one person is affected. A work device containing company data cannot be located.,software,True,software-14
VPN connected without resources - Unauthorised access concern,The VPN reports connected but internal drives and pages remain unreachable. It started early this morning and one person is affected. I noticed unauthorised access to my account this morning.,network,True,network-14
Database permission denied,The database connection succeeds but my user is not authorised to view the records. It started early this morning and the whole team is affected.,access,False,access-9
Email client search broken,The desktop mail application opens normally but returns no search results. It started during a meeting and one person is affected.,software,False,software-8
Document formatting changed,The word processor moves headings and tables when the file is saved. It started during a meeting and one person is affected.,software,False,software-11
Laptop will not start,The laptop power light stays off after changing the charger at Carlow office. It started after the latest restart and one person is affected.,hardware,False,hardware-0
Document formatting changed,The word processor moves headings and tables when the file is saved. It started after lunch and the whole team is affected.,software,False,software-11
Expired account - Suspicious sign-in page,The system says my user account has expired and will not allow a sign-in. It started when the office opened and one person is affected. A fake-looking login page appeared and asked me to confirm my credentials.,access,True,access-10
Remove folder permission,Please remove a contractor's access to the confidential project folder. It started after the latest restart and the whole team is affected.,access,False,access-11
Antivirus scan will not finish,The approved antivirus program stops responding midway through a routine scan. It started after lunch and the whole team is affected.,software,False,software-14
Incorrect totals in report,The reporting program calculates the wrong total after importing a spreadsheet. It started during a meeting and one person is affected.,software,False,software-7
Permission changed unexpectedly,I can log in but no longer have access to files I was authorised to use. It started after lunch and one person is affected.,access,False,access-14
Account locked,My approved account is locked after several failed sign-in attempts. It started after the latest restart and one person is affected.,access,False,access-5
Video calls keep dropping - Unknown administrator activity,Calls disconnect for several people whenever they use the office network. It started early this morning and the whole team is affected. An unrecognised administrator changed settings without approval.,network,True,network-6
Desktop making warning beeps,The workstation beeps during startup and does not reach the login screen. It started after the latest restart and one person is affected.,hardware,False,hardware-14
Slow connection,Internet performance is extremely slow for everyone at the Carlow office. It started late yesterday and one person is affected.,network,False,network-3
Remote desktop disconnecting,The remote session drops whenever the VPN connection becomes unstable. It started early this morning and the whole team is affected.,network,False,network-8
Webcam not detected,The external webcam is not recognised after reconnecting it at Naas office. It started after lunch and one person is affected.,hardware,False,hardware-7
VPN connected without resources - Lost company device,The VPN reports connected but internal drives and pages remain unreachable. It started during normal daily work and one person is affected. A work device containing company data cannot be located.,network,True,network-14
Laptop will not start,The laptop power light stays off after changing the charger at Carlow branch. It started after lunch and one person is affected.,hardware,False,hardware-0
Database permission denied,The database connection succeeds but my user is not authorised to view the records. It started early this morning and one person is affected.,access,False,access-9
Database permission denied,The database connection succeeds but my user is not authorised to view the records. It started after the latest restart and one person is affected.,access,False,access-9
Webcam not detected,The external webcam is not recognised after reconnecting it at Carlow office. It started late yesterday and one person is affected.,hardware,False,hardware-7
Internal website times out,The intranet cannot be reached from any computer at Carlow office. It started during a meeting and one person is affected.,network,False,network-7
Payroll export fails,The payroll application accepts the user login but fails while exporting data. It started early this morning and one person is affected.,software,False,software-13
Network printer unreachable,The printer is powered on but no workstation can contact its network address. It started after the latest restart and one person is affected.,network,False,network-9
PDF files will not open - Stolen work device,The document reader reports an error for every PDF downloaded by the operations team. It started after lunch and the whole team is affected. A company device containing work information has been reported stolen.,software,True,software-5
Calendar application frozen - Suspicious email reported,The calendar stops responding after a meeting invitation is accepted. It started late yesterday and one person is affected. A suspicious email asks me to open an attachment and enter my password.,software,True,software-9
Monitor has no display,The monitor says no signal although the desktop is running for the reception. It started early this morning and the whole team is affected.,hardware,False,hardware-1
Antivirus scan will not finish,The approved antivirus program stops responding midway through a routine scan. It started during a meeting and one person is affected.,software,False,software-14
Password reset,I forgot my password and need a normal account reset. It started after lunch and the whole team is affected.,access,False,access-1
Remote desktop disconnecting,The remote session drops whenever the VPN connection becomes unstable. It started during normal daily work and one person is affected.,network,False,network-8
